Length 	 recursive time 	  Iterative time 
1			2600					800
2			34800					2300
3			4500					900
4			5400					1100
5			5500					1000
6			7900					1300
7			6300					1200
8			9600					2000
9			12500					4500
10			20200					2200
11			21500					3700
12			17100					2400
13			16000					2400
14			12200					2100
15			27400					3900
16			26900					4200
17			11900					2000
18			13100					2200
19			11400					2300
20			23100					2400
21			26100					1600
22			19400					2000
23			36800					2200
24			12900					1700
25			20300					2400
26			23600					2300
27			32900					2400
28			38700					2700
29			67800					2700
30			39400					2900
31			25800					2900
32			15700					3100
33			52500					3600
34			6300					2700
35			10200					3700
36			20700					5100
37			5200					2800
38			6500					6700
39			6600					4000
40			9000					4100
41			8900					4400
42			8700					4300
43			8900					3900
44			7300					3200
45			4700					3000
46			6600					3100
47			12400					4200
48			43900					9500
49			10200					3100
50			12100					3400
51			11900					3400
52			22100					6300
53			8800					3500
54			16300					3900
55			6700					3600
56			11600					5000
57			7300					3800
58			9600					4200
59			14600					9100
60			8400					3900
61			9100					3900
62			7500					3900
63			8300					6400
64			420200					6300
65			10900					4100
66			8500					7200
67			10300					4000
68			13400					4100
69			17300					6000
70			12000					4500
71			13600					5700
72			12800					4300
73			12100					4500
74			65300					6100
75			10900					4500
76			31400					9400
77			20000					4600
78			16300					6400
79			14400					6400
80			20800					15500
81			21000					25800
82			13000					4700
83			18400					5900
84			15700					6100
85			18100					4600
86			42500					6800
87			66300					8700
88			68000					6300
89			16000					8200
90			35800					7000
91			10800					4900
92			21400					6400
93			15100					5100
94			23800					6800
95			23500					6700
96			15600					5500
97			19900					7000
98			22700					6300
99			20600					7100
100			111700					7900
101			20600					6400
102			18500					7000
103			18000					7100
104			39300					6900
105			307800					9400
106			35600					16800
107			45700					7200
108			92700					8100
109			22800					20700
110			22800					7700
111			18600					7700
112			22700					22000
113			18900					3000
114			104100					7600
115			14800					1900
116			17800					2000
117			40900					2700
118			22600					2800
119			30800					3300
120			23400					3100
121			25700					2100
122			19800					2800
123			14900					1800
124			31500					3400
125			25200					3100
126			29100					3100
127			31700					2600
128			36800					3100
129			25500					3100
130			22800					3000
131			30000					3300
132			44700					2800
133			30100					3100
134			26600					3300
135			27900					3300
136			24900					3700
137			24900					3500
138			27200					3500
139			25800					3100
140			17100					2000
141			44500					3300
142			34500					3100
143			26700					3100
144			76900					3000
145			173800					8000
146			24400					4000
147			50300					3100
148			29200					3800
149			71300					7200
150			22000					3900
151			26000					3800
152			25000					4100
153			27000					4000
154			23000					3400
155			22300					3900
156			25000					3600
157			41500					2800
158			22900					3400
159			38200					3100
160			45900					3900
161			25100					3900
162			25800					4000
163			54900					2700
164			74700					4700
165			24300					4200
166			45600					4300
167			32000					3900
168			80200					4300
169			35400					5000
170			22700					4600
171			24400					4000
172			34600					4300
173			26000					3800
174			103800					4600
175			31700					4400
176			25300					3500
177			39500					2600
178			24700					4900
179			32100					4700
180			38600					4600
181			25200					4500
182			27000					2600
183			16200					2400
184			26400					4800
185			27600					4800
186			27900					2600
187			40700					4200
188			41100					2500
189			34300					4200
190			25600					2900
191			30100					3100
192			29400					4100
193			76800					20600
194			48600					6000
195			45900					8500
196			29200					5100
197			30200					3600
198			28700					5100
199			31000					3200
200			28600					4300
201			29000					4200
202			30800					4100
203			31800					4500
204			31500					10000
205			25200					4800
206			29400					5000
207			33900					5300
208			32000					4800
209			34800					4400
210			33900					4400
211			29300					8300
212			29100					4800
213			40000					8100
214			32700					5600
215			27800					2900
216			38900					5200
217			22800					2900
218			37400					4700
219			45900					5000
220			37400					4900
221			66900					5600
222			132700					6400
223			65200					7800
224			56600					5800
225			32500					5500
226			47100					4500
227			23600					4900
228			18600					3000
229			24700					4500
230			26300					5600
231			38900					5000
232			28500					4900
233			26100					5300
234			24700					4900
235			29500					5200
236			23700					5000
237			17900					3400
238			18600					3300
239			26000					4800
240			28300					4800
241			21900					3400
242			27800					6000
243			31400					5700
244			26200					5300
245			30100					5900
246			23100					5000
247			28000					5400
248			53500					6300
249			20100					3300
250			37700					6200
251			19700					3300
252			28700					6400
253			25400					17900
254			201100					6000
255			94200					5100
